"alvo","variante","arquivo","frase","onset_ms","alvo_eh_ultima_palavra","limites"
"gato","a","estimulos/audio/gato_a.wav","Cadê o gato?","968.7","sim","Cadê:167.3|o:812.2|gato:968.7"
"gato","b","estimulos/audio/gato_b.wav","Olha o gato!","834","sim","Olha:169.3|o:689|gato:834"
"bola","a","estimulos/audio/bola_a.wav","Cadê a bola?","1001.1","sim","Cadê:167.3|a:826|bola:1001.1"
"bola","b","estimulos/audio/bola_b.wav","Olha a bola!","853.6","sim","Olha:169.3|a:689.1|bola:853.6"
"cachorro","a","estimulos/audio/cachorro_a.wav","Cadê o cachorro?","940.8","sim","Cadê:167.3|o:815.2|cachorro:940.8"
"cachorro","b","estimulos/audio/cachorro_b.wav","Olha o cachorro!","818.9","sim","Olha:171.6|o:693.1|cachorro:818.9"
"sapato","a","estimulos/audio/sapato_a.wav","Cadê o sapato?","929.9","sim","Cadê:167.3|o:814.5|sapato:929.9"
"sapato","b","estimulos/audio/sapato_b.wav","Olha o sapato!","803.2","sim","Olha:171.6|o:688.9|sapato:803.2"
"banana","a","estimulos/audio/banana_a.wav","Cadê a banana?","948.3","sim","Cadê:167.3|a:823.6|banana:948.3"
"banana","b","estimulos/audio/banana_b.wav","Olha a banana!","814.6","sim","Olha:171.6|a:690.2|banana:814.6"
"livro","a","estimulos/audio/livro_a.wav","Cadê o livro?","970.6","sim","Cadê:167.3|o:812.2|livro:970.6"
"livro","b","estimulos/audio/livro_b.wav","Olha o livro!","832.3","sim","Olha:169.3|o:687.9|livro:832.3"
"pato","a","estimulos/audio/pato_a.wav","Cadê o pato?","946.2","sim","Cadê:167.3|o:812.3|pato:946.2"
"pato","b","estimulos/audio/pato_b.wav","Olha o pato!","812.3","sim","Olha:169.3|o:687.4|pato:812.3"
"maçã","a","estimulos/audio/maca_a.wav","Cadê a maçã?","931","sim","Cadê:167.3|a:824.8|maçã:931"
"maçã","b","estimulos/audio/maca_b.wav","Olha a maçã!","789.7","sim","Olha:169.3|a:692.1|maçã:789.7"
