gato | estimulos/imagens/gato.png | estimulos/imagens/banana.png | esquerda | estimulos/audio/gato_a.wav | 968.7
gato | estimulos/imagens/banana.png | estimulos/imagens/gato.png | direita | estimulos/audio/gato_a.wav | 968.7
gato | estimulos/imagens/gato.png | estimulos/imagens/banana.png | esquerda | estimulos/audio/gato_b.wav | 834
gato | estimulos/imagens/banana.png | estimulos/imagens/gato.png | direita | estimulos/audio/gato_b.wav | 834
banana | estimulos/imagens/banana.png | estimulos/imagens/gato.png | esquerda | estimulos/audio/banana_a.wav | 948.3
banana | estimulos/imagens/gato.png | estimulos/imagens/banana.png | direita | estimulos/audio/banana_a.wav | 948.3
banana | estimulos/imagens/banana.png | estimulos/imagens/gato.png | esquerda | estimulos/audio/banana_b.wav | 814.6
banana | estimulos/imagens/gato.png | estimulos/imagens/banana.png | direita | estimulos/audio/banana_b.wav | 814.6
bola | estimulos/imagens/bola.png | estimulos/imagens/sapato.png | esquerda | estimulos/audio/bola_a.wav | 1001.1
bola | estimulos/imagens/sapato.png | estimulos/imagens/bola.png | direita | estimulos/audio/bola_a.wav | 1001.1
bola | estimulos/imagens/bola.png | estimulos/imagens/sapato.png | esquerda | estimulos/audio/bola_b.wav | 853.6
bola | estimulos/imagens/sapato.png | estimulos/imagens/bola.png | direita | estimulos/audio/bola_b.wav | 853.6
sapato | estimulos/imagens/sapato.png | estimulos/imagens/bola.png | esquerda | estimulos/audio/sapato_a.wav | 929.9
sapato | estimulos/imagens/bola.png | estimulos/imagens/sapato.png | direita | estimulos/audio/sapato_a.wav | 929.9
sapato | estimulos/imagens/sapato.png | estimulos/imagens/bola.png | esquerda | estimulos/audio/sapato_b.wav | 803.2
sapato | estimulos/imagens/bola.png | estimulos/imagens/sapato.png | direita | estimulos/audio/sapato_b.wav | 803.2
cachorro | estimulos/imagens/cachorro.png | estimulos/imagens/livro.png | esquerda | estimulos/audio/cachorro_a.wav | 940.8
cachorro | estimulos/imagens/livro.png | estimulos/imagens/cachorro.png | direita | estimulos/audio/cachorro_a.wav | 940.8
cachorro | estimulos/imagens/cachorro.png | estimulos/imagens/livro.png | esquerda | estimulos/audio/cachorro_b.wav | 818.9
cachorro | estimulos/imagens/livro.png | estimulos/imagens/cachorro.png | direita | estimulos/audio/cachorro_b.wav | 818.9
livro | estimulos/imagens/livro.png | estimulos/imagens/cachorro.png | esquerda | estimulos/audio/livro_a.wav | 970.6
livro | estimulos/imagens/cachorro.png | estimulos/imagens/livro.png | direita | estimulos/audio/livro_a.wav | 970.6
livro | estimulos/imagens/livro.png | estimulos/imagens/cachorro.png | esquerda | estimulos/audio/livro_b.wav | 832.3
livro | estimulos/imagens/cachorro.png | estimulos/imagens/livro.png | direita | estimulos/audio/livro_b.wav | 832.3
pato | estimulos/imagens/pato.png | estimulos/imagens/maca.png | esquerda | estimulos/audio/pato_a.wav | 946.2
pato | estimulos/imagens/maca.png | estimulos/imagens/pato.png | direita | estimulos/audio/pato_a.wav | 946.2
pato | estimulos/imagens/pato.png | estimulos/imagens/maca.png | esquerda | estimulos/audio/pato_b.wav | 812.3
pato | estimulos/imagens/maca.png | estimulos/imagens/pato.png | direita | estimulos/audio/pato_b.wav | 812.3
maçã | estimulos/imagens/maca.png | estimulos/imagens/pato.png | esquerda | estimulos/audio/maca_a.wav | 1150.0
maçã | estimulos/imagens/pato.png | estimulos/imagens/maca.png | direita | estimulos/audio/maca_a.wav | 1150.0
maçã | estimulos/imagens/maca.png | estimulos/imagens/pato.png | esquerda | estimulos/audio/maca_b.wav | 789.7
maçã | estimulos/imagens/pato.png | estimulos/imagens/maca.png | direita | estimulos/audio/maca_b.wav | 789.7
